,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,MinutesPer90,Goals,Assists,GoalsAndAssists,NonPenaltyGoals,PenaltiesScored,PenaltiesAttempted,CrdY,CrdR,ExpGoals,NPExpGoals,ExpAssists,NPExpGoalsAndAssists,PrgC,PrgP,PrgR,GoalsPer90,AssistsPer90,GoalsAndAssistsPer90,NPGoalsPer90,NPGoalsAndAssistsPer90,ExpGoalsPer90,ExpAssistsPer90,ExpGoalsAndAssistsPer90,NPExpGoalsPer90,NPExpGoalsAndAssistsPer90
0,Aaron Ciammaglichella,ITA,MF,Torino,Serie A,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Aaron Cresswell,ENG,DF,West Ham,Premier League,34,18,10,824,9.2,0,0,0,0,0,0,3,0,0.2,0.2,1.3,1.6,6,36,4,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17
2,Aaron Malouda,FRA,FW,Lille,Ligue 1,18,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aaron Ramsdale,ENG,GK,Southampton,Premier League,26,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Aaron Wan-Bissaka,ENG,DF,West Ham,Premier League,26,36,35,3154,35.0,2,5,7,2,0,0,1,0,1.2,1.2,3.5,4.7,110,149,167,0.06,0.14,0.2,0.06,0.2,0.03,0.1,0.14,0.03,0.14
5,Aarón Martín,ESP,DF,Genoa,Serie A,27,36,35,3085,34.3,0,8,8,0,0,0,5,0,0.9,0.9,5.5,6.4,50,90,108,0.0,0.23,0.23,0.0,0.23,0.03,0.16,0.19,0.03,0.19
6,Abakar Sylla,CIV,DF,Strasbourg,Ligue 1,21,21,10,950,10.6,1,0,1,1,0,0,2,1,0.4,0.4,0.1,0.5,0,21,3,0.09,0.0,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05
7,Abdallah Sima,SEN,"FW,MF",Brest,Ligue 1,23,27,14,1238,13.8,7,2,9,7,0,0,2,0,5.9,5.9,1.0,6.9,36,24,92,0.51,0.15,0.65,0.51,0.65,0.43,0.07,0.5,0.43,0.5
8,Abde Ezzalzouli,MAR,"FW,MF",Betis,La Liga,22,32,23,1984,22.0,2,2,4,2,0,1,2,0,8.0,7.2,2.0,9.3,117,68,215,0.09,0.09,0.18,0.09,0.18,0.36,0.09,0.46,0.33,0.42
9,Abdel Abqar,MAR,DF,Alavés,La Liga,25,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04
10,Abderrahman Rebbach,ALG,"FW,MF",Alavés,La Liga,25,8,4,385,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,16,5,34,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11
11,Abdou Harroui,NED,"MF,FW",Hellas Verona,Serie A,26,10,5,463,5.1,1,2,3,1,0,0,1,0,2.2,2.2,0.4,2.6,23,21,34,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51
12,Abdoul Koné,FRA,DF,Reims,Ligue 1,19,4,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,34,19,16,1510,16.8,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,1,16,3,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02
14,Abdoulaye Doucouré,MLI,MF,Everton,Premier League,31,33,31,2564,28.5,3,2,5,3,0,0,5,1,4.1,4.1,2.4,6.6,42,82,96,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23
15,Abdoulaye Keita,ESP,"FW,MF",Getafe,La Liga,21,3,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
16,Abdoulaye Niakhate Ndiaye,SEN,DF,Brest,Ligue 1,22,22,19,1707,19.0,1,0,1,1,0,0,4,1,1.0,1.0,0.0,1.0,5,39,4,0.05,0.0,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05
17,Abdoulaye Touré,GUI,MF,Le Havre,Ligue 1,30,28,26,2324,25.8,10,1,11,2,8,9,5,0,9.4,2.2,0.4,2.6,17,109,28,0.39,0.04,0.43,0.08,0.12,0.37,0.02,0.38,0.08,0.1
18,Abdoulie Ceesay,GAM,FW,St. Pauli,Bundesliga,20,7,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
19,Abdukodir Khusanov,UZB,DF,Manchester City,Premier League,20,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
20,Abdukodir Khusanov,UZB,DF,Lens,Ligue 1,20,13,11,975,10.8,0,0,0,0,0,0,2,1,0.2,0.2,0.3,0.6,2,43,6,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
21,Abdul Fatawu Issahaku,GHA,FW,Leicester City,Premier League,20,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.0,0.31,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31
22,Abdul Mumin,GHA,DF,Rayo Vallecano,La Liga,26,24,24,2017,22.4,2,1,3,2,0,0,6,1,0.6,0.6,0.2,0.8,12,40,6,0.09,0.04,0.13,0.09,0.13,0.03,0.01,0.03,0.03,0.03
23,Abdón Prats,ESP,"FW,MF",Mallorca,La Liga,31,24,3,456,5.1,2,0,2,1,1,1,4,0,2.2,1.5,0.1,1.6,0,7,14,0.39,0.0,0.39,0.2,0.2,0.45,0.03,0.47,0.29,0.32
24,Abel,ESP,DF,Osasuna,La Liga,23,35,20,2074,23.0,2,0,2,2,0,0,3,0,0.5,0.5,1.0,1.6,50,77,92,0.09,0.0,0.09,0.09,0.09,0.02,0.05,0.07,0.02,0.07
25,Abel Ruiz,ESP,FW,Girona,La Liga,24,23,17,1346,15.0,4,0,4,3,1,2,3,0,4.6,3.0,0.5,3.5,21,23,71,0.27,0.0,0.27,0.2,0.2,0.31,0.03,0.34,0.2,0.23
26,Abner,BRA,DF,Lyon,Ligue 1,24,19,12,1090,12.1,1,1,2,1,0,0,1,0,0.6,0.6,1.1,1.7,31,66,55,0.08,0.08,0.17,0.08,0.17,0.05,0.09,0.14,0.05,0.14
27,Aboubacar Bassinga,CIV,MF,Las Palmas,La Liga,19,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Achraf Hakimi,MAR,DF,Paris S-G,Ligue 1,25,25,24,2066,23.0,4,6,10,4,0,0,4,0,2.9,2.9,6.2,9.1,93,183,274,0.17,0.26,0.44,0.17,0.44,0.13,0.27,0.4,0.13,0.4
29,Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,27,20,15,1248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25
30,Adam Aznou,MAR,DF,Bayern Munich,Bundesliga,18,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Adam Aznou,MAR,DF,Valladolid,La Liga,18,13,10,876,9.7,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,16,25,26,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06
32,Adam Dźwigała,POL,"DF,MF",St. Pauli,Bundesliga,28,16,2,373,4.1,0,0,0,0,0,0,2,1,0.4,0.4,0.0,0.4,1,14,4,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09
33,Adam Hložek,CZE,"FW,MF",Hoffenheim,Bundesliga,22,27,22,1871,20.8,8,4,12,8,0,0,2,0,5.6,5.6,3.5,9.1,54,68,102,0.38,0.19,0.58,0.38,0.58,0.27,0.17,0.44,0.27,0.44
34,Adam Lallana,ENG,MF,Southampton,Premier League,36,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.0,0.5,0.5,0.0,0.5,0.04,0.23,0.27,0.04,0.27
35,Adam Marušić,MNE,DF,Lazio,Serie A,31,35,26,2337,26.0,4,0,4,4,0,0,1,0,2.0,2.0,0.6,2.6,23,84,108,0.15,0.0,0.15,0.15,0.15,0.08,0.02,0.1,0.08,0.1
36,Adam Masina,MAR,DF,Torino,Serie A,30,28,20,1919,21.3,1,2,3,1,0,0,5,0,0.7,0.7,0.3,1.0,15,73,10,0.05,0.09,0.14,0.05,0.14,0.03,0.01,0.05,0.03,0.05
37,Adam Obert,SVK,DF,Cagliari,Serie A,21,21,13,1077,12.0,1,1,2,1,0,0,4,0,0.9,0.9,0.4,1.3,12,50,19,0.08,0.08,0.17,0.08,0.17,0.07,0.03,0.11,0.07,0.11
38,Adam Smith,ENG,DF,Bournemouth,Premier League,33,25,19,1590,17.7,0,0,0,0,0,0,7,0,0.7,0.7,0.4,1.1,15,49,34,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
39,Adam Webster,ENG,DF,Brighton,Premier League,29,14,11,887,9.9,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,8,63,2,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08
40,Adam Wharton,ENG,MF,Crystal Palace,Premier League,20,20,16,1318,14.6,0,2,2,0,0,0,2,0,0.4,0.4,3.0,3.4,14,107,11,0.0,0.14,0.14,0.0,0.14,0.03,0.21,0.23,0.03,0.23
41,Adama Boiro,ESP,"DF,FW",Athletic Club,La Liga,22,18,13,1101,12.2,0,0,0,0,0,0,3,0,0.3,0.3,0.5,0.7,25,46,36,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
42,Adama Traoré,ESP,"FW,MF",Fulham,Premier League,28,36,18,1772,19.7,2,7,9,2,0,0,3,0,4.0,4.0,4.9,8.9,100,68,161,0.1,0.36,0.46,0.1,0.46,0.2,0.25,0.45,0.2,0.45
43,Ademola Lookman,NGA,"MF,FW",Atalanta,Serie A,26,31,28,2247,25.0,15,5,20,14,1,1,4,0,10.3,9.5,7.1,16.7,142,73,316,0.6,0.2,0.8,0.56,0.76,0.41,0.29,0.7,0.38,0.67
44,Adnan Januzaj,BEL,"MF,FW",Las Palmas,La Liga,29,18,5,598,6.6,2,1,3,2,0,0,5,0,0.8,0.8,1.1,1.9,24,41,58,0.3,0.15,0.45,0.3,0.45,0.13,0.16,0.29,0.13,0.29
45,Ado Onaiwu,JPN,"MF,FW",Auxerre,Ligue 1,28,31,9,957,10.6,4,1,5,4,0,0,1,1,4.0,4.0,1.1,5.1,17,33,74,0.38,0.09,0.47,0.38,0.47,0.37,0.1,0.47,0.37,0.47
46,Adri Embarba,ESP,"FW,MF",Rayo Vallecano,La Liga,32,35,18,1607,17.9,1,1,2,1,0,0,4,0,2.1,2.1,2.7,4.8,47,45,114,0.06,0.06,0.11,0.06,0.11,0.12,0.15,0.27,0.12,0.27
47,Adrian Baquerin,ESP,FW,Valladolid,La Liga,17,5,0,49,0.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,1,0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.71,0.71
48,Adrian Beck,GER,"MF,FW",Heidenheim,Bundesliga,27,32,18,1598,17.8,4,1,5,4,0,0,1,0,3.3,3.3,1.2,4.5,37,69,83,0.23,0.06,0.28,0.23,0.28,0.18,0.07,0.25,0.18,0.25
49,Adrian Benedyczak,POL,"FW,MF",Parma,Serie A,23,9,2,214,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,3,3,12,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.13,0.11,0.13
50,Adrian Bernabe,ESP,MF,Parma,Serie A,23,21,18,1453,16.1,1,1,2,1,0,0,1,0,1.3,1.3,1.1,2.4,37,115,20,0.06,0.06,0.12,0.06,0.12,0.08,0.07,0.15,0.08,0.15
51,Adrian Niño,ESP,FW,Atlético Madrid,La Liga,20,1,0,12,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,1,0.0,0.0,0.0,0.0,0.0,1.44,0.0,1.44,1.44,1.44
52,Adrian Rodriguez,ESP,GK,Alavés,La Liga,23,2,1,122,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Adrien Rabiot,FRA,MF,Marseille,Ligue 1,29,29,27,2485,27.6,9,4,13,9,0,0,4,0,7.3,7.3,3.8,11.1,79,168,174,0.33,0.14,0.47,0.33,0.47,0.26,0.14,0.4,0.26,0.4
54,Adrien Tameze,CMR,"MF,DF",Torino,Serie A,30,20,9,649,7.2,0,0,0,0,0,0,3,0,0.4,0.4,0.8,1.2,16,23,21,0.0,0.0,0.0,0.0,0.0,0.05,0.12,0.17,0.05,0.17
55,Adrien Thomasson,FRA,MF,Lens,Ligue 1,30,33,31,2615,29.1,3,7,10,3,0,0,7,0,5.9,5.9,6.0,11.9,30,149,138,0.1,0.24,0.34,0.1,0.34,0.2,0.21,0.41,0.2,0.41
56,Adrien Truffert,FRA,"DF,MF",Rennes,Ligue 1,22,33,31,2752,30.6,2,2,4,2,0,0,3,0,2.4,2.3,3.2,5.5,69,104,243,0.07,0.07,0.13,0.07,0.13,0.08,0.11,0.18,0.08,0.18
57,Adrià Altimira,ESP,"DF,FW",Leganés,La Liga,23,22,19,1630,18.1,0,0,0,0,0,0,6,0,0.3,0.3,0.5,0.8,23,42,69,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04
58,Adrià Pedrosa,ESP,DF,Sevilla,La Liga,26,31,27,2298,25.5,1,1,2,1,0,0,7,0,0.9,0.9,1.6,2.5,41,79,96,0.04,0.04,0.08,0.04,0.08,0.04,0.06,0.1,0.04,0.1
59,Adrián,ESP,GK,Betis,La Liga,37,19,19,1710,19.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Adryelson,BRA,DF,Lyon,Ligue 1,26,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Adu Ares,ESP,FW,Athletic Club,La Liga,22,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Aihen Muñoz,ESP,DF,Real Sociedad,La Liga,26,21,13,1098,12.2,0,0,0,0,0,0,5,0,0.2,0.2,0.3,0.4,26,38,28,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04
63,Aimar Oroz,ESP,MF,Osasuna,La Liga,22,37,35,2966,33.0,5,4,9,4,1,1,8,0,4.2,3.5,2.9,6.5,74,163,142,0.15,0.12,0.27,0.12,0.24,0.13,0.09,0.22,0.11,0.2
64,Aimen Moueffek,FRA,MF,Saint-Étienne,Ligue 1,23,22,13,1039,11.5,0,1,1,0,0,0,2,0,1.1,1.1,1.1,2.2,20,43,31,0.0,0.09,0.09,0.0,0.09,0.09,0.1,0.19,0.09,0.19
65,Aingeru Olabarrieta,ESP,FW,Athletic Club,La Liga,18,1,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Ainsley Maitland-Niles,ENG,DF,Lyon,Ligue 1,26,32,20,1985,22.1,1,4,5,1,0,0,1,0,2.9,2.9,3.4,6.4,33,102,110,0.05,0.18,0.23,0.05,0.23,0.13,0.16,0.29,0.13,0.29
67,Aitor Fernández,ESP,GK,Osasuna,La Liga,33,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Aitor Paredes,ESP,DF,Athletic Club,La Liga,24,23,21,1812,20.1,3,0,3,3,0,0,4,1,2.3,2.3,0.1,2.3,4,46,2,0.15,0.0,0.15,0.15,0.15,0.11,0.0,0.12,0.11,0.12
69,Aitor Ruibal,ESP,"DF,FW",Betis,La Liga,28,29,13,1313,14.6,1,3,4,1,0,0,5,0,0.9,0.9,2.4,3.3,21,50,64,0.07,0.21,0.27,0.07,0.27,0.06,0.17,0.23,0.06,0.23
70,Akor Adams,NGA,FW,Sevilla,La Liga,24,4,1,134,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,5,5,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29
71,Akor Adams,NGA,FW,Montpellier,Ligue 1,24,15,13,1075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44
72,Alan Matturro,URU,DF,Genoa,Serie A,19,13,9,900,10.0,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,12,15,9,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
73,Alassane Pléa,FRA,"MF,FW",Gladbach,Bundesliga,31,30,24,1902,21.1,11,4,15,10,1,1,3,0,7.4,6.6,3.1,9.8,51,116,141,0.52,0.19,0.71,0.47,0.66,0.35,0.15,0.5,0.31,0.46
74,Alban Lafont,FRA,GK,Nantes,Ligue 1,25,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Albert Grønbaek,DEN,"FW,MF",Southampton,Premier League,23,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08
76,Albert Grønbaek,DEN,"MF,FW",Rennes,Ligue 1,23,16,9,813,9.0,2,1,3,2,0,0,1,0,1.5,1.5,1.0,2.5,23,30,58,0.22,0.11,0.33,0.22,0.33,0.17,0.12,0.28,0.17,0.28
77,Albert Guðmundsson,ISL,"FW,MF",Fiorentina,Serie A,27,24,16,1273,14.1,6,1,7,4,2,2,2,0,4.5,2.9,1.8,4.8,35,37,59,0.42,0.07,0.49,0.28,0.35,0.32,0.13,0.45,0.21,0.34
78,Albert Sambi Lokonga,BEL,MF,Sevilla,La Liga,24,22,16,1471,16.3,0,2,2,0,0,0,4,0,0.9,0.9,1.0,1.9,24,93,20,0.0,0.12,0.12,0.0,0.12,0.06,0.06,0.12,0.06,0.12
79,Alberto Cerri,ITA,FW,Como,Serie A,28,5,0,87,1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,11,0.0,0.0,0.0,0.0,0.0,1.05,0.0,1.05,1.05,1.05
80,Alberto Dossena,ITA,DF,Como,Serie A,25,23,20,1825,20.3,0,2,2,0,0,0,1,1,0.8,0.8,0.7,1.5,4,36,1,0.0,0.1,0.1,0.0,0.1,0.04,0.03,0.07,0.04,0.07
81,Alberto Grassi,ITA,MF,Empoli,Serie A,29,28,27,2203,24.5,1,0,1,1,0,0,8,0,1.0,1.0,0.8,1.9,18,74,24,0.04,0.0,0.04,0.04,0.04,0.04,0.03,0.08,0.04,0.08
82,Alberto Manzoni,ITA,MF,Atalanta,Serie A,19,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94
83,Alberto Marí,ESP,FW,Valencia,La Liga,23,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Alberto Moleiro,ESP,"FW,MF",Las Palmas,La Liga,20,35,32,2714,30.2,6,1,7,6,0,0,5,0,5.6,5.6,3.3,8.9,97,116,179,0.2,0.03,0.23,0.2,0.23,0.19,0.11,0.3,0.19,0.3
85,Alberto Moreno,ESP,DF,Como,Serie A,32,24,21,1727,19.2,0,0,0,0,0,0,4,0,0.4,0.4,1.2,1.6,23,81,58,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08
86,Alberto Paleari,ITA,GK,Torino,Serie A,31,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Alberto Risco,ESP,"MF,FW",Getafe,La Liga,18,5,0,69,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,3,6,0.0,0.0,0.0,0.0,0.0,0.22,0.19,0.41,0.22,0.41
88,Alberto costa,POR,DF,Juventus,Serie A,20,9,3,357,4.0,0,1,1,0,0,0,3,0,0.6,0.6,0.2,0.8,8,8,25,0.0,0.25,0.25,0.0,0.25,0.15,0.05,0.2,0.15,0.2
89,Aleix García,ESP,MF,Leverkusen,Bundesliga,27,28,17,1455,16.2,3,4,7,3,0,0,3,0,1.0,1.0,4.9,5.9,27,120,47,0.19,0.25,0.43,0.19,0.43,0.06,0.3,0.36,0.06,0.36
90,Alejandro Balde,ESP,DF,Barcelona,La Liga,20,32,26,2284,25.4,0,4,4,0,0,0,2,0,0.5,0.5,3.4,3.9,107,93,246,0.0,0.16,0.16,0.0,0.16,0.02,0.13,0.15,0.02,0.15
91,Alejandro Francés,ESP,DF,Girona,La Liga,21,18,13,1173,13.0,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.6,18,63,21,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04
92,Alejandro Garnacho,ARG,"MF,FW",Manchester Utd,Premier League,20,36,23,2199,24.4,6,2,8,6,0,0,3,0,7.3,7.3,4.5,11.8,141,56,290,0.25,0.08,0.33,0.25,0.33,0.3,0.19,0.48,0.3,0.48
93,Alejandro Jiménez,ESP,"DF,FW",Milan,Serie A,19,22,14,1266,14.1,0,1,1,0,0,0,6,0,0.8,0.8,1.3,2.1,55,37,72,0.0,0.07,0.07,0.0,0.07,0.06,0.09,0.15,0.06,0.15
94,Alejandro Rodriguez,POR,MF,Lyon,Ligue 1,16,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Alejo Véliz,ARG,FW,Espanyol,La Liga,20,27,10,1127,12.5,1,0,1,1,0,0,3,0,2.3,2.3,0.6,2.8,2,8,27,0.08,0.0,0.08,0.08,0.08,0.18,0.04,0.22,0.18,0.22
96,Aleksandar Pavlovic,GER,MF,Bayern Munich,Bundesliga,20,21,18,1451,16.1,1,0,1,1,0,0,2,0,0.6,0.6,0.2,0.8,15,128,33,0.06,0.0,0.06,0.06,0.06,0.03,0.01,0.05,0.03,0.05
97,Aleksandar Sedlar,SRB,DF,Alavés,La Liga,32,9,7,594,6.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,2,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Aleksandr Golovin,RUS,"MF,FW",Monaco,Ligue 1,28,19,13,1153,12.8,3,0,3,3,0,0,1,0,2.3,2.3,2.4,4.7,39,112,72,0.23,0.0,0.23,0.23,0.23,0.18,0.19,0.37,0.18,0.37
99,Alen Sherri,ALB,GK,Cagliari,Serie A,26,7,7,621,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Alessandro Bastoni,ITA,DF,Inter,Serie A,25,32,30,2333,25.9,1,5,6,1,0,0,6,1,0.8,0.8,2.3,3.2,62,162,83,0.04,0.19,0.23,0.04,0.23,0.03,0.09,0.12,0.03,0.12
101,Alessandro Bianco,ITA,MF,Monza,Serie A,21,34,29,2600,28.9,1,0,1,1,0,0,9,0,1.3,1.3,1.2,2.5,35,125,24,0.03,0.0,0.03,0.03,0.03,0.04,0.04,0.09,0.04,0.09
102,Alessandro Bianco,ITA,MF,Fiorentina,Serie A,21,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Alessandro Buongiorno,ITA,DF,Napoli,Serie A,25,22,22,1924,21.4,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,27,82,8,0.05,0.0,0.05,0.05,0.05,0.04,0.03,0.07,0.04,0.07
104,Alessandro Circati,AUS,DF,Parma,Serie A,20,6,6,540,6.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,1,10,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.06,0.05,0.06
105,Alessandro Deiola,ITA,MF,Cagliari,Serie A,28,29,16,1432,15.9,2,1,3,2,0,0,6,0,1.7,1.7,0.6,2.4,11,40,36,0.13,0.06,0.19,0.13,0.19,0.11,0.04,0.15,0.11,0.15
106,Alessandro Florenzi,ITA,FW,Milan,Serie A,33,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Alessandro Gabrielloni,ITA,"FW,MF",Como,Serie A,30,15,0,142,1.6,1,1,2,1,0,0,1,0,0.3,0.3,0.8,1.1,5,6,13,0.63,0.63,1.27,0.63,1.27,0.19,0.49,0.68,0.19,0.68
108,Alessandro Marcandalli,ITA,DF,Genoa,Serie A,21,2,1,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Alessandro Marcandalli,ITA,DF,Venezia,Serie A,21,8,5,354,3.9,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,2,10,1,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
110,Alessandro Vogliacco,ITA,DF,Parma,Serie A,25,10,10,772,8.6,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,2,21,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
111,Alessandro Vogliacco,ITA,DF,Genoa,Serie A,25,12,8,715,7.9,2,0,2,2,0,0,3,0,1.3,1.3,0.0,1.4,9,26,2,0.25,0.0,0.25,0.25,0.25,0.17,0.0,0.17,0.17,0.17
112,Alessandro Zanoli,ITA,"FW,DF",Genoa,Serie A,23,31,19,1711,19.0,1,0,1,1,0,0,3,0,0.4,0.4,1.6,2.0,65,27,90,0.05,0.0,0.05,0.05,0.05,0.02,0.08,0.11,0.02,0.11
