,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,MinutesPer90,Goals,Assists,GoalsAndAssists,NonPenaltyGoals,PenaltiesScored,PenaltiesAttempted,CrdY,CrdR,ExpGoals,NPExpGoals,ExpAssists,NPExpGoalsAndAssists,PrgC,PrgP,PrgR,GoalsPer90,AssistsPer90,GoalsAndAssistsPer90,NPGoalsPer90,NPGoalsAndAssistsPer90,ExpGoalsPer90,ExpAssistsPer90,ExpGoalsAndAssistsPer90,NPExpGoalsPer90,NPExpGoalsAndAssistsPer90
703,Donyell Malen,NED,"FW,MF",Dortmund,Bundesliga,25,14,6,614,6.8,3,0,3,3,0,0,1,0,2.9,2.9,0.2,3.2,23,17,75,0.44,0.0,0.44,0.44,0.44,0.43,0.03,0.46,0.43,0.46
704,Douglas,BRA,MF,Nantes,Ligue 1,27,28,28,2307,25.6,4,2,6,4,0,0,8,0,3.4,3.4,1.5,4.9,14,125,34,0.16,0.08,0.23,0.16,0.23,0.13,0.06,0.19,0.13,0.19
705,Douglas Luiz,BRA,MF,Juventus,Serie A,26,19,3,529,5.9,0,0,0,0,0,0,2,0,0.6,0.6,1.0,1.6,16,35,12,0.0,0.0,0.0,0.0,0.0,0.11,0.16,0.27,0.11,0.27
706,Drissa Camara,CIV,"MF,FW",Parma,Serie A,22,21,1,447,5.0,0,0,0,0,0,0,3,0,1.2,1.2,0.8,2.0,18,27,35,0.0,0.0,0.0,0.0,0.0,0.25,0.16,0.4,0.25,0.4
707,Duje Ćaleta-Car,CRO,DF,Lyon,Ligue 1,27,19,17,1584,17.6,1,0,1,1,0,0,8,0,2.1,2.1,0.1,2.2,4,46,0,0.06,0.0,0.06,0.06,0.06,0.12,0.01,0.13,0.12,0.13
708,Duk,CPV,"MF,FW",Leganés,La Liga,24,10,1,179,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,10,3,21,0.0,0.0,0.0,0.0,0.0,0.01,0.33,0.34,0.01,0.34
709,Duván Zapata,COL,FW,Torino,Serie A,33,7,7,587,6.5,3,0,3,3,0,0,1,0,3.4,3.4,0.5,3.9,6,7,36,0.46,0.0,0.46,0.46,0.46,0.52,0.08,0.59,0.52,0.59
710,Dušan Vlahović,SRB,FW,Juventus,Serie A,24,29,21,1784,19.8,10,4,14,6,4,4,3,0,12.3,9.2,1.3,10.5,27,22,117,0.5,0.2,0.71,0.3,0.5,0.62,0.07,0.69,0.46,0.53
711,Dwight McNeil,ENG,"MF,FW",Everton,Premier League,24,21,15,1371,15.2,4,6,10,4,0,0,1,0,1.1,1.1,5.2,6.3,38,69,80,0.26,0.39,0.66,0.26,0.66,0.07,0.34,0.41,0.07,0.41
712,Dylan Batubinsika,COD,DF,Saint-Étienne,Ligue 1,28,25,22,2016,22.4,1,0,1,1,0,0,3,1,0.8,0.8,0.2,1.0,11,51,1,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.04,0.04,0.04
713,Désiré Doué,FRA,"FW,MF",Paris S-G,Ligue 1,19,31,18,1730,19.2,6,6,12,6,0,0,1,0,5.1,5.1,7.8,13.0,97,139,232,0.31,0.31,0.62,0.31,0.62,0.27,0.41,0.67,0.27,0.67
714,Eberechi Eze,ENG,"MF,FW",Crystal Palace,Premier League,26,34,31,2588,28.8,8,8,16,7,1,2,1,0,10.5,8.9,6.2,15.1,69,97,153,0.28,0.28,0.56,0.24,0.52,0.36,0.22,0.58,0.31,0.53
